Filename,33000x_m.tif,17500x_j.tif,9700x_m.tif,9700x_m.tif,9700x_m.tif,7400x_r.tif,7400x_l.tif,7400x_k.tif
C132,79.669,0.053,100.561,172.893,164.874,126.946,163.801,205.539
C133,79.555,0.053,100.728,174.019,164.123,125.978,163.636,206.724
C134,79.442,0.054,100.895,175.145,163.371,125.011,163.470,207.908
C135,79.329,0.054,101.062,176.271,162.620,124.044,163.304,209.093
C136,79.216,0.054,101.228,177.397,161.868,123.077,163.138,210.277
C137,79.103,0.054,101.395,178.523,161.432,122.110,162.973,211.462
C138,78.989,0.054,101.562,179.649,161.381,121.143,162.807,212.647
C139,78.876,0.054,101.728,180.775,161.329,120.175,162.641,213.831
C140,78.763,0.054,101.895,181.901,161.278,119.208,162.475,215.016
C141,78.650,0.054,102.062,183.027,161.227,118.241,162.310,216.200
C142,78.537,0.054,102.228,184.153,161.176,117.274,162.144,217.385
C143,78.423,0.054,102.395,185.279,161.124,116.307,161.978,218.569
C144,78.310,0.054,102.562,186.405,161.073,115.340,161.812,219.754
C145,78.197,0.054,102.729,187.531,161.022,114.372,161.647,220.939
C146,78.084,0.054,102.895,188.657,160.970,113.405,161.481,222.123
C147,77.970,0.054,103.062,189.069,160.919,112.438,161.315,223.308
C148,77.857,0.055,103.229,188.714,160.868,111.471,161.150,224.492
C149,77.744,0.055,103.395,188.358,160.817,110.504,160.984,225.677
C150,77.631,0.055,103.562,188.003,160.765,109.537,160.818,226.862
C151,77.518,0.055,103.729,187.647,160.714,108.569,160.652,228.046
C152,77.404,0.055,103.895,187.292,160.663,107.602,160.487,229.231
C153,77.398,0.055,104.062,186.936,160.612,106.635,160.321,230.415
C154,77.609,0.055,104.229,186.581,160.560,105.668,160.155,231.600
C155,77.819,0.056,104.395,186.225,160.509,104.701,159.989,232.190
C156,78.029,0.056,104.562,185.869,160.458,103.734,159.824,231.314
C157,78.239,0.056,104.729,185.514,160.407,102.766,159.658,230.439
C158,78.449,0.057,104.896,185.158,160.355,101.799,159.492,229.564
C159,78.659,0.057,105.062,184.803,160.304,100.832,159.326,228.689
C160,78.869,0.057,105.229,184.447,160.253,99.865,159.161,227.813
C161,79.080,0.057,105.396,184.092,160.202,100.743,158.995,226.938
C162,79.290,0.058,105.562,183.736,160.150,102.890,158.829,226.063
C163,79.500,0.058,105.729,183.381,160.099,105.037,158.663,225.188
C164,79.710,0.058,105.896,183.025,160.048,107.184,158.498,224.312
C165,79.920,0.058,106.062,182.670,159.997,109.331,158.332,223.437
C166,80.130,0.059,106.229,182.314,159.945,111.477,158.166,222.562
C167,80.340,0.059,106.396,181.959,159.894,113.624,158.000,221.687
C168,80.550,0.059,106.563,181.603,159.843,115.771,157.835,220.811
C169,80.761,0.060,106.729,181.248,159.792,117.918,157.669,219.936
C170,80.971,0.060,106.896,180.892,159.740,120.064,157.503,219.061
C171,81.181,0.060,107.063,180.536,159.689,122.211,157.337,218.186
C172,81.391,0.060,107.229,180.181,159.638,124.358,157.172,217.310
C173,81.601,0.060,107.396,179.825,159.586,126.505,157.006,216.435
C174,81.811,0.060,107.563,179.297,159.535,128.652,156.840,215.560
C175,82.021,0.060,107.729,178.733,159.484,130.798,156.675,214.685
C176,82.231,0.060,107.896,178.169,159.433,132.945,156.509,213.809
C177,82.442,0.059,108.063,177.605,159.381,135.092,156.343,212.934
C178,82.652,0.059,108.229,177.041,159.330,137.239,156.177,212.059
C179,82.862,0.059,108.396,176.478,0.000,139.386,156.012,211.184
C180,83.072,0.059,108.563,175.914,0.000,141.532,155.846,210.308
C181,83.282,0.059,108.730,175.350,0.000,143.679,155.680,209.433
C182,83.492,0.059,108.896,174.786,0.000,145.826,155.514,208.558
C183,83.702,0.059,109.063,174.222,0.000,147.973,155.349,207.683
C184,83.912,0.058,109.230,173.658,0.000,150.119,155.183,206.807
C185,84.123,0.058,109.396,173.094,0.000,152.266,155.017,205.932
C186,84.333,0.058,109.563,172.530,0.000,154.413,154.851,205.057
C187,84.543,0.058,109.730,171.966,0.000,156.560,154.686,204.182
C188,84.753,0.058,109.896,171.402,0.000,158.707,154.520,203.306
C189,84.963,0.058,110.063,170.838,0.000,160.853,154.354,202.105
C190,85.173,0.058,110.230,170.274,0.000,163.000,154.188,200.697
C191,85.383,0.057,110.397,169.710,0.000,165.147,154.023,199.289
C192,85.594,0.057,110.563,169.545,0.000,167.294,153.857,197.882
C193,85.804,0.057,110.730,0.000,0.000,169.441,153.691,196.474
C194,86.014,0.057,110.884,0.000,0.000,171.587,153.525,195.066
C195,86.224,0.057,110.980,0.000,0.000,173.734,153.360,193.658
C196,86.434,0.057,111.077,0.000,0.000,175.881,154.012,192.250
C197,86.644,0.057,111.173,0.000,0.000,178.028,154.675,190.842
C198,86.854,0.056,111.269,0.000,0.000,180.174,155.337,190.261
C199,87.064,0.056,111.366,0.000,0.000,182.321,156.000,190.445
C200,87.275,0.056,111.462,0.000,0.000,183.252,156.662,190.630
C201,87.485,0.056,111.558,0.000,0.000,183.719,157.324,190.814
C202,87.695,0.056,111.655,0.000,0.000,184.323,157.987,190.999
C203,87.905,0.056,111.751,0.000,0.000,184.928,158.649,191.183
C204,88.115,0.056,111.847,0.000,0.000,185.533,159.311,191.368
C205,88.325,0.055,111.944,0.000,0.000,186.137,159.974,191.553
C206,88.535,0.055,112.040,0.000,0.000,186.742,160.636,191.737
C207,88.745,0.055,112.137,0.000,0.000,187.347,161.299,191.922
C208,88.956,0.055,112.233,0.000,0.000,187.951,161.961,192.106
C209,89.166,0.055,112.329,0.000,0.000,188.556,162.623,192.291
C210,89.376,0.055,112.426,0.000,0.000,189.161,163.286,192.475
C211,89.586,0.054,112.522,0.000,0.000,189.765,163.948,192.660
C212,89.796,0.054,112.618,0.000,0.000,190.370,164.610,192.845
C213,90.006,0.054,112.715,0.000,0.000,190.975,165.273,193.029
C214,90.216,0.054,112.811,0.000,0.000,191.579,165.935,193.214
C215,90.426,0.054,112.907,0.000,0.000,192.184,166.597,193.398
C216,90.637,0.054,113.004,0.000,0.000,192.789,167.260,193.583
C217,90.847,0.054,113.100,0.000,0.000,193.393,167.922,193.767
C218,91.057,0.053,113.197,0.000,0.000,193.998,168.585,193.952
C219,91.267,0.053,113.293,0.000,0.000,194.603,169.247,194.137
C220,91.477,0.053,113.389,0.000,0.000,195.208,169.909,194.321
C221,91.687,0.053,113.486,0.000,0.000,195.812,170.572,194.506
C222,91.897,0.053,113.582,0.000,0.000,196.417,171.234,194.690
C223,92.107,0.053,113.678,0.000,0.000,197.022,171.896,194.875
C224,92.318,0.053,113.775,0.000,0.000,197.626,172.559,195.060
C225,92.528,0.052,113.871,0.000,0.000,198.231,173.221,195.244
C226,92.738,0.052,113.967,0.000,0.000,198.836,173.884,195.429
C227,92.948,0.052,114.064,0.000,0.000,199.440,174.546,195.613
C228,93.158,0.052,114.160,0.000,0.000,200.045,175.208,195.798
C229,93.368,0.052,114.257,0.000,0.000,200.650,175.871,195.982
C230,93.578,0.052,114.353,0.000,0.000,201.254,176.533,196.167
C231,93.789,0.052,114.449,0.000,0.000,201.859,177.195,196.352
C232,93.999,0.051,114.546,0.000,0.000,202.464,177.858,196.536
C233,94.209,0.051,114.642,0.000,0.000,203.068,178.520,196.721
C234,94.419,0.051,114.738,0.000,0.000,203.673,179.182,196.905
C235,94.629,0.051,114.835,0.000,0.000,204.278,179.845,197.090
C236,94.839,0.051,114.894,0.000,0.000,204.882,180.507,197.274
C237,95.049,0.051,114.829,0.000,0.000,205.487,181.170,197.459
C238,95.259,0.051,114.764,0.000,0.000,206.092,181.832,197.644
C239,95.470,0.050,114.698,0.000,0.000,206.696,182.494,197.828
C240,95.680,0.050,114.633,0.000,0.000,207.301,183.157,198.013
C241,95.890,0.050,114.568,0.000,0.000,207.906,183.819,198.197
C242,96.100,0.050,114.503,0.000,0.000,208.510,184.481,198.382
C243,96.310,0.050,114.437,0.000,0.000,209.115,185.144,198.566
C244,96.520,0.050,114.372,0.000,0.000,209.720,185.806,198.751
C245,96.730,0.049,114.307,0.000,0.000,210.325,186.469,198.936
C246,96.940,0.049,114.241,0.000,0.000,210.929,187.131,199.120
C247,97.151,0.049,114.176,0.000,0.000,211.534,187.793,199.305
C248,97.361,0.049,114.111,0.000,0.000,212.139,188.456,199.489
C249,97.571,0.049,114.045,0.000,0.000,212.743,189.118,199.674
C250,97.781,0.049,113.980,0.000,0.000,213.348,189.780,199.859
C251,97.991,0.049,113.915,0.000,0.000,213.721,190.443,200.043
C252,98.201,0.049,113.850,0.000,0.000,213.087,191.105,200.228
C253,98.411,0.049,113.784,0.000,0.000,212.452,191.768,198.362
C254,98.621,0.049,113.719,0.000,0.000,211.817,192.430,196.255
C255,98.832,0.049,113.654,0.000,0.000,211.182,193.092,194.148
C256,99.042,0.049,113.588,0.000,0.000,210.548,193.755,192.041
C257,99.252,0.049,113.523,0.000,0.000,209.913,194.417,189.934
C258,99.462,0.049,113.458,0.000,0.000,209.278,195.079,189.965
C259,99.672,0.049,113.393,0.000,0.000,208.643,195.742,190.083
C260,99.882,0.049,113.327,0.000,0.000,208.009,196.404,190.200
C261,100.092,0.049,113.262,0.000,0.000,207.374,197.066,190.318
C262,100.303,0.049,113.197,0.000,0.000,206.739,197.729,190.435
C263,100.513,0.049,113.131,0.000,0.000,206.104,197.259,190.553
C264,100.723,0.049,113.066,0.000,0.000,205.469,195.434,190.670
