Filename,5800x_l.tif,5800x_l.tif,9700c.tif,9700d.tif,9700x.tif,9700x.tif,9700xh.tif,9700xh.tif,9700x_r.tif,13500x_n.tif,24500xj.tif,CM100-5.tif
C78,205.349,213.578,73.185,102.804,133.322,92.284,170.237,121.809,131.070,266.620,186.526,96.755
C79,208.667,215.909,72.161,103.028,133.184,92.525,169.390,120.709,130.982,264.985,186.204,96.284
C80,211.984,218.240,71.137,103.252,133.047,92.766,168.543,119.609,130.893,263.349,185.881,95.814
C81,215.302,220.570,70.113,103.476,132.909,93.008,167.696,118.509,130.804,261.714,185.559,95.343
C82,218.619,222.901,69.089,103.700,132.772,93.249,166.849,117.408,130.716,260.078,185.237,94.873
C83,221.937,225.232,68.065,103.924,132.634,93.490,166.002,116.308,130.627,258.443,184.915,94.402
C84,225.254,227.563,67.041,104.148,132.497,93.731,165.154,115.208,130.538,256.808,184.592,93.932
C85,228.572,229.894,66.017,104.372,132.359,93.972,164.307,114.108,130.450,255.172,184.270,93.461
C86,226.399,232.225,64.993,104.596,132.221,94.213,163.460,113.008,130.361,253.537,183.948,92.991
C87,224.012,234.556,63.969,104.820,132.084,94.454,162.613,111.908,130.272,251.902,183.626,92.521
C88,221.626,236.887,62.945,105.044,131.946,94.695,161.766,110.808,130.184,250.266,183.303,92.050
C89,219.240,239.218,61.921,105.268,131.809,94.936,160.919,109.708,130.095,248.631,182.981,91.580
C90,216.854,241.548,60.897,105.492,131.671,95.177,160.071,108.608,130.007,246.996,182.659,91.109
C91,214.468,243.879,59.873,105.716,131.534,95.381,159.224,107.507,129.918,245.360,182.337,90.639
C92,212.082,245.504,58.849,105.940,131.396,95.198,158.377,106.407,129.829,243.725,182.014,90.168
C93,209.696,242.141,57.825,106.164,131.259,95.014,157.530,105.307,129.741,242.089,181.692,89.698
C94,207.310,238.778,57.626,106.388,131.121,94.831,157.172,104.207,129.652,240.454,181.370,89.227
C95,204.924,235.416,57.930,106.612,130.984,94.647,157.809,103.107,129.563,238.819,181.048,88.757
C96,202.538,232.053,58.233,106.836,131.071,94.464,158.446,102.007,129.475,237.183,180.725,88.286
C97,200.152,228.690,58.537,107.060,131.348,94.281,159.083,100.907,129.386,236.373,180.403,87.816
C98,197.766,225.328,58.840,107.284,131.624,94.097,159.720,99.807,129.297,236.228,180.081,87.345
C99,195.380,221.965,59.144,107.508,131.900,93.914,160.357,98.707,129.209,236.083,179.759,86.875
C100,192.994,218.602,59.447,107.732,132.176,93.730,160.994,97.607,129.120,235.938,179.436,86.404
C101,190.608,215.240,59.751,107.957,132.453,93.547,161.631,96.506,129.031,235.793,179.114,85.934
C102,188.222,211.877,60.054,108.181,132.729,93.363,162.268,95.406,129.059,235.649,178.792,85.463
C103,186.648,208.514,60.358,108.405,133.005,93.180,162.906,94.306,129.576,235.504,178.470,84.993
C104,186.986,205.152,60.661,108.629,133.281,92.996,163.543,93.206,130.092,235.359,178.147,84.522
C105,187.324,201.789,60.964,108.853,133.558,92.813,164.180,92.106,130.609,235.214,177.825,84.052
C106,187.662,198.427,61.268,109.077,133.834,92.630,164.817,91.006,131.126,235.070,177.503,83.581
C107,188.001,195.064,61.571,109.301,134.110,92.446,165.454,89.906,131.642,234.925,177.181,83.111
C108,188.339,191.701,61.875,109.525,134.386,92.263,166.091,88.806,132.159,234.780,176.858,82.640
C109,188.677,188.339,62.178,109.749,134.663,92.079,166.728,87.706,132.676,234.635,176.536,82.170
C110,189.016,185.946,62.482,110.371,134.939,91.896,167.365,86.605,133.192,234.490,176.214,81.699
C111,189.354,183.923,62.785,111.982,135.215,91.712,168.002,85.505,133.709,234.190,175.892,81.229
C112,189.692,181.899,63.089,113.592,135.491,91.529,168.639,84.405,134.040,233.523,175.569,80.758
C113,190.030,179.876,63.392,115.202,135.768,91.345,169.276,83.305,134.269,232.856,175.247,80.288
C114,190.369,177.852,63.696,116.812,136.044,91.162,169.914,82.695,134.499,232.189,174.925,79.817
C115,190.707,175.829,63.999,118.422,136.320,90.978,170.551,82.472,134.729,231.522,174.603,79.347
C116,191.045,173.805,64.303,120.033,136.596,90.795,171.188,82.249,134.958,230.854,174.280,78.876
C117,191.384,171.781,64.606,121.643,136.873,92.209,171.825,82.026,135.188,230.187,174.097,78.406
C118,191.722,169.758,64.910,122.632,137.149,93.953,172.462,81.802,135.418,229.520,173.919,77.936
C119,192.060,167.734,65.213,122.564,137.425,95.698,173.099,81.579,135.648,228.853,173.741,77.465
C120,192.399,165.711,65.517,122.496,137.701,97.443,173.736,81.356,135.877,228.186,173.563,77.107
C121,192.737,163.687,66.278,122.428,137.978,99.188,174.373,81.133,136.107,227.519,173.385,77.034
C122,193.075,161.664,67.112,122.360,138.254,100.932,175.010,80.910,136.337,226.851,173.206,76.961
C123,193.413,159.640,67.946,122.292,138.530,102.566,175.647,80.686,136.566,226.184,173.028,76.888
C124,193.752,157.617,68.781,122.224,138.806,103.793,176.284,80.463,136.796,225.517,172.850,76.814
C125,194.090,157.990,69.615,122.156,139.083,105.020,176.921,80.240,137.026,224.850,172.672,76.741
C126,194.428,159.881,70.449,122.088,139.359,106.247,177.559,80.017,137.255,224.183,172.494,76.668
C127,194.767,161.772,71.283,122.020,139.126,107.474,178.196,79.794,137.485,223.515,172.315,76.594
C128,195.105,163.664,72.118,121.952,138.630,108.700,178.833,79.570,137.715,222.848,172.137,76.521
