Filename,9700x_s.tif,7400x_r.tif,7400x_r.tif,7400x_h.tif,74oox_g.tif
C263,102.182,95.524,0.000,62.988,109.591
C264,101.794,93.085,0.000,62.677,108.144
C265,101.407,90.646,0.000,62.365,106.698
C266,101.019,88.207,0.000,62.053,105.251
C267,100.505,85.767,0.000,61.741,103.805
C268,99.380,83.328,0.000,61.429,102.358
C269,98.255,80.889,0.000,61.117,100.912
C270,97.130,79.379,0.000,60.805,99.465
C271,96.005,80.678,0.000,60.493,98.019
C272,94.880,81.977,0.000,60.181,96.638
C273,93.754,83.276,0.000,59.869,96.688
C274,92.629,84.576,0.000,59.557,96.738
C275,91.504,85.875,0.000,59.246,96.788
C276,90.379,87.174,0.000,58.934,96.838
C277,89.254,88.473,0.000,58.622,96.887
C278,88.129,89.772,0.000,58.310,96.937
C279,87.003,91.071,0.000,57.998,96.987
C280,85.878,92.370,0.000,57.686,97.037
C281,84.753,93.669,0.000,57.374,97.087
C282,83.628,94.968,0.000,57.062,97.136
C283,82.643,96.267,0.000,56.750,97.186
C284,81.672,97.567,0.000,56.438,97.236
C285,80.700,98.866,0.000,56.126,97.286
C286,79.729,100.165,0.000,55.815,97.336
C287,78.757,101.464,0.000,55.503,97.385
C288,77.786,103.293,0.000,55.191,97.435
C289,76.814,109.766,0.000,54.879,96.557
C290,75.843,116.238,0.000,54.567,95.058
C291,74.871,122.711,0.000,54.255,93.560
C292,73.900,129.183,0.000,53.943,92.062
C293,72.929,135.656,0.000,53.631,90.564
C294,71.957,142.128,0.000,53.319,89.066
C295,70.986,148.601,0.000,52.453,87.567
C296,70.014,155.073,0.000,51.396,86.069
C297,69.043,161.546,0.000,50.215,84.571
C298,68.071,168.018,0.000,49.034,83.073
C299,67.100,174.491,0.000,47.853,81.575
C300,66.128,180.963,0.000,46.673,80.076
C301,65.157,187.436,0.000,45.492,78.578
C302,64.185,190.794,0.000,44.311,77.080
C303,63.214,194.011,0.000,43.130,75.582
C304,62.243,189.994,0.000,41.949,74.084
C305,61.271,185.512,0.000,40.768,72.585
C306,60.300,181.031,0.000,39.588,71.087
C307,59.328,176.549,0.000,38.407,69.589
C308,58.357,172.068,0.000,37.226,68.091
C309,57.385,167.586,0.000,36.045,66.593
C310,56.414,163.105,0.000,34.864,65.094
C311,55.442,158.623,0.000,33.683,63.596
C312,54.471,154.142,0.000,32.503,62.098
C313,53.499,149.661,0.000,31.322,60.600
C314,52.528,145.179,0.000,30.141,59.102
C315,51.556,140.698,0.000,28.960,57.603
