Filename,17500x_o.tif,17500x_b.tif,9700x_k.tif,9700x_h.tif,7400x_j.tif,7400x_i.tif,7400x_a.tif
C325,105.194,90.793,51.127,142.963,138.179,204.273,71.795
C326,105.072,90.903,50.730,142.280,138.923,205.845,71.397
C327,104.950,91.014,50.333,141.597,139.667,207.417,70.998
C328,104.828,91.125,49.936,140.914,140.411,208.990,70.599
C329,104.706,91.236,49.539,140.231,141.155,210.562,70.201
C330,104.584,91.347,49.142,139.548,141.899,211.076,69.802
C331,104.462,91.458,48.745,138.864,142.643,210.377,69.404
C332,104.340,91.569,48.348,138.181,143.387,209.679,69.005
C333,104.218,91.680,48.965,137.498,144.131,208.980,68.606
C334,104.096,91.791,49.619,136.815,144.875,208.281,68.208
C335,103.974,91.902,50.273,136.132,145.619,207.582,67.809
C336,103.851,92.013,50.927,135.449,146.363,206.883,67.410
C337,103.729,92.124,51.581,134.766,147.107,206.184,67.012
C338,103.607,92.235,52.235,134.083,147.851,205.485,66.727
C339,103.485,92.345,52.889,133.400,148.595,204.786,67.493
C340,103.507,92.456,53.543,132.717,149.339,204.087,68.259
C341,103.685,92.567,54.197,132.034,150.083,203.388,69.025
C342,103.862,92.678,54.851,131.351,150.827,202.689,69.791
C343,104.040,92.789,55.505,130.668,151.571,201.990,70.557
C344,104.217,92.900,56.159,129.985,152.315,201.291,71.324
C345,104.395,93.011,56.813,129.302,153.059,200.592,72.090
C346,104.573,93.122,57.467,128.619,153.803,199.893,72.189
C347,104.750,93.233,58.121,127.936,154.547,199.194,71.676
C348,104.928,93.344,58.775,127.253,155.291,198.495,71.162
C349,105.105,93.455,59.429,126.569,156.035,197.796,70.649
C350,105.283,93.566,60.083,125.886,156.779,197.097,70.135
C351,105.461,93.677,60.737,125.203,157.523,196.399,69.621
C352,105.638,93.787,61.391,124.520,158.267,195.700,69.108
C353,105.816,93.898,62.070,123.837,159.011,195.001,68.594
C354,105.993,94.009,62.750,124.186,159.755,194.302,68.080
C355,106.171,94.120,63.430,126.463,160.499,193.603,67.567
C356,106.349,94.231,64.110,128.739,161.243,192.904,67.053
C357,106.526,94.342,64.790,131.015,161.987,192.088,66.540
C358,106.704,94.765,65.469,133.291,162.294,189.061,66.026
C359,106.881,95.685,66.149,134.629,162.023,186.034,65.512
C360,107.059,96.604,66.829,135.845,161.752,183.007,64.999
C361,107.237,97.269,67.509,137.061,161.481,179.980,64.485
C362,107.414,97.329,68.189,138.277,161.209,176.953,63.971
C363,107.592,97.389,68.869,139.493,160.938,176.552,63.458
C364,107.769,97.449,69.549,140.709,160.667,176.186,62.944
C365,107.947,97.509,70.229,141.926,160.396,175.820,62.431
C366,108.125,97.569,70.909,143.142,160.125,175.454,61.917
C367,108.302,97.629,71.589,144.358,159.854,175.087,61.403
C368,108.480,97.689,72.269,145.574,159.583,174.721,60.890
C369,108.657,97.749,72.948,146.790,159.311,174.355,60.376
C370,108.835,97.809,73.628,148.006,159.040,173.989,59.862
C371,109.013,97.869,74.308,149.223,158.769,173.623,59.349
C372,109.190,97.929,74.988,150.439,158.498,173.256,58.835
C373,109.368,97.989,75.668,151.655,158.227,172.890,58.322
C374,109.545,98.049,76.348,152.871,157.238,172.524,57.808
C375,109.723,98.109,77.028,154.087,156.100,172.158,57.294
C376,109.901,98.169,77.708,155.303,154.962,171.792,56.781
C377,110.078,98.229,78.388,156.519,153.824,171.425,56.267
C378,110.119,98.289,79.068,157.736,152.686,171.059,55.753
C379,110.132,98.349,79.748,158.952,151.548,170.693,55.240
C380,109.846,98.409,80.428,160.168,150.410,170.327,54.726
C381,109.307,98.469,81.107,161.384,149.272,169.961,54.213
C382,108.767,98.529,81.787,162.600,148.135,169.594,53.699
C383,108.228,98.590,82.467,163.816,146.997,169.228,54.096
C384,107.688,98.650,83.147,165.033,145.859,168.862,56.438
C385,107.149,98.710,83.827,166.249,144.721,168.496,58.781
C386,106.610,98.770,84.507,167.465,143.583,168.130,61.124
C387,106.070,98.830,85.187,168.681,142.445,167.763,63.467
C388,105.531,98.890,85.867,169.897,141.307,167.397,65.810
C389,104.991,98.950,86.547,171.113,140.169,167.031,68.153
C390,104.452,99.010,87.227,172.329,139.031,166.665,70.495
