Filename,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,74oox_ad.tif,5800x_y.tif,5800x_y.tif,7400x_ac.tif,7400x_ac.tif,7400x_ac.tif,7400x_g.tif,7400x_g.tif,7400x_g.tif,7400x_h.tif,7400x_h.tif,7400x_u.tif,7400x_u.tif,7400x_u.tif,7400x_v.tif,7400x_w.tif,7400x_w.tif,7400x_w.tif,9700x_m.tif,9700x_m.tif,9700x_n.tif,9700x_n.tif,9700x_s.tif,13500x_j.tif,13500x_j.tif,13500x_k.tif,13500x_m.tif,13500x_q.tif,17500x_o.tif,17500x_p.tif,33000x_l.tif
C31,68.048,191.928,115.838,557.953,184.786,382.016,202.209,163.703,260.709,48.637,93.786,128.241,521.774,175.619,104.116,50.476,106.939,176.014,110.551,125.397,68.474,38.757,75.040,24.323,45.483,105.592,91.492,15.657,74.439,122.631,57.851,39.433,29.860,56.633
C32,65.075,191.736,115.561,552.435,181.478,380.640,198.786,164.010,258.329,48.394,93.450,127.667,521.930,176.575,100.891,50.675,106.540,171.556,104.844,122.956,69.801,38.727,72.678,23.959,45.540,105.873,90.619,14.886,73.050,121.818,57.667,39.853,29.823,57.120
C33,62.101,191.545,115.284,546.917,178.169,379.265,195.363,164.317,255.948,48.152,93.113,127.092,522.085,177.530,97.667,50.874,106.142,167.098,99.138,120.515,71.127,38.697,70.316,23.594,45.597,106.154,89.746,14.115,71.661,121.005,57.483,40.274,29.787,57.607
C34,59.128,191.353,115.007,541.400,174.861,377.889,191.940,164.624,253.568,47.909,92.776,126.517,522.240,178.486,94.443,51.073,105.743,162.641,95.217,118.075,72.454,38.667,67.954,23.229,45.655,106.435,88.874,13.343,70.272,120.192,57.299,40.694,29.750,58.094
C35,56.155,191.161,114.731,535.882,171.552,376.514,190.279,164.931,251.187,47.666,92.440,125.943,522.396,179.442,91.219,51.272,105.345,158.183,91.359,115.634,73.780,38.637,65.592,22.865,45.712,106.716,88.001,12.572,68.882,119.379,57.116,41.114,29.713,58.581
C36,53.684,190.969,114.454,530.364,168.244,375.138,190.369,165.237,248.807,47.423,92.103,125.368,522.551,180.397,87.980,51.471,104.946,153.725,87.500,113.193,75.107,38.607,64.244,22.500,45.769,106.996,87.129,12.127,67.493,118.566,56.932,41.534,29.677,59.068
C37,51.732,190.778,114.177,524.847,164.935,373.763,190.460,165.544,246.426,47.180,91.767,124.793,522.707,181.353,81.404,51.670,104.548,149.268,83.813,110.753,76.434,38.577,63.986,22.135,45.826,107.277,86.256,13.167,80.539,117.754,56.748,41.955,29.640,59.555
C38,49.780,190.586,113.900,519.329,162.189,372.390,190.550,165.851,244.046,46.937,91.430,124.219,522.862,182.309,74.828,51.869,104.149,144.810,87.471,108.312,77.760,38.546,63.727,21.770,45.883,107.558,85.383,14.208,95.539,116.941,56.564,42.375,29.603,60.042
C39,47.828,190.394,112.664,513.811,161.608,371.027,190.641,166.158,241.665,46.694,90.934,123.644,523.017,183.264,72.359,50.921,103.751,140.352,91.130,105.871,79.087,38.516,63.468,21.406,45.941,107.839,84.511,15.249,110.539,116.517,56.380,42.795,29.566,60.529
C40,45.876,190.202,110.351,508.294,161.027,369.664,190.731,166.465,239.285,46.451,89.181,123.069,523.173,184.220,71.737,48.493,103.352,135.895,94.789,103.431,80.413,38.486,63.209,21.041,45.998,108.120,83.638,16.289,125.540,116.269,56.196,42.033,29.530,61.017
