Filename,17500x_e.tif,9700x_d.tif,9700x_d.tif,7400x_g.tif,7400x_f.tif,7400x_b.tif,7400x_a.tif
C134,42.320,40.662,64.012,67.883,51.185,60.727,67.117
C135,42.255,39.408,62.954,68.292,51.574,60.884,66.881
C136,42.190,38.154,61.896,68.701,51.964,61.041,66.645
C137,42.124,36.900,60.838,69.109,52.354,61.686,66.409
C138,42.059,35.646,59.780,69.518,52.744,62.924,66.172
C139,41.994,34.392,58.722,69.927,53.134,64.162,65.936
C140,41.929,33.138,57.664,70.336,53.524,65.401,65.700
C141,41.864,31.884,56.606,70.744,53.914,66.639,65.464
C142,41.799,30.631,55.548,71.153,54.304,67.877,65.228
C143,41.734,29.377,54.490,71.562,54.693,69.116,64.992
C144,41.669,28.123,53.432,71.971,55.083,70.354,64.756
C145,41.604,26.869,52.374,72.379,55.473,71.592,64.520
C146,41.539,25.615,51.316,72.788,55.863,72.831,64.284
C147,41.474,24.361,50.258,73.197,56.253,74.069,64.048
C148,41.409,23.415,49.200,73.606,56.643,75.307,63.812
C149,41.344,23.556,48.142,74.014,57.033,76.546,63.576
C150,41.278,23.697,47.084,74.423,57.423,77.784,63.339
C151,41.213,23.838,46.026,74.832,57.812,79.022,63.103
C152,41.148,23.979,44.969,75.241,58.202,80.261,62.867
C153,41.083,24.120,43.579,75.649,58.592,81.499,62.631
C154,41.018,24.261,41.171,76.058,58.982,81.715,62.395
C155,40.953,24.402,40.967,76.467,59.372,81.483,62.159
C156,40.888,24.543,40.985,76.876,59.762,81.251,61.923
C157,40.823,24.684,41.004,77.284,60.152,81.019,61.687
C158,40.758,24.825,41.023,77.693,60.542,80.786,61.451
C159,40.693,24.966,41.041,78.102,60.614,80.554,61.215
C160,40.628,25.107,41.060,78.511,59.677,80.322,60.979
C161,40.563,25.248,41.078,78.920,58.740,80.089,60.743
C162,40.498,25.390,41.097,79.328,57.802,79.857,60.507
C163,40.433,25.531,41.115,79.737,56.865,79.625,60.270
C164,40.367,25.672,41.134,80.146,55.927,79.392,60.034
C165,40.302,25.813,41.152,80.350,54.990,79.160,59.798
C166,40.237,25.954,41.171,79.319,54.052,78.928,59.562
C167,40.172,26.095,41.189,78.287,53.115,78.696,59.326
C168,40.107,26.236,41.208,77.256,52.178,78.463,59.090
C169,40.042,26.377,41.226,76.224,51.240,78.231,58.854
C170,39.977,26.518,41.245,75.193,50.303,77.999,58.618
